userAddress,poolAddress,tokenAddress,blockNumber,balance,timestamp
0x0000024bc043e565527f26318f7bb5dbae457a36,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,327593477328952180,1713146329
0x000006dc2ae55d0a2006a973ea1cba2de07c0632,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,11138191738692532,1713146329
0x000018fe9bb43e05c13ef4364b1819b5079a5ac2,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,163928529312852212,1713146329
0x0010c2b926ea6dd088ba8940556cbc54464529b3,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,58971556120853184,1713146329
0x001cfe1009a7d4f3bc2f92da2398bc1dd9ef9001,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,157247232896199920,1713146329
0x0050ae13158960d22aa6df4ea11ce38cb15e6e3e,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,32761414049193143,1713146329
0x0050ae13158960d22aa6df4ea11ce38cb15e6e3e,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,65005786628056277,1713146329
0x005a20063065aad7afd0259847d94ff64d82624f,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,232076211376072432,1713146329
0x0073b9fb6d85319de5ffee8c9bbc14e4380efae3,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,350660700629585935,1713146329
0x00868229010b98daef99d544663cc068234dbe00,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,64870602786152558,1713146329
0x00c1b5c9c036f6261626052bda6363a93688dabb,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,6552251025156,1713146329
0x00e39304c139ebc5b03576da1359eb2ecff07e75,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,65518539670438144,1713146329
0x01004bea6919b67c1475756ea75019f3bdc40679,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,62245832688998857,1713146329
0x016173d21efb6ba93e96186140d8e0cb8844084b,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,0,1713146329
0x016f17dc99e1fcbe08e6bf62a42f632340611b36,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,173895817889788996,1713146329
0x016f17dc99e1fcbe08e6bf62a42f632340611b36,0x8c4ba925d899ccde6d3657fcd9416c819edbef97,0xdeec33dc735baf36b473598c33bcd077a0f32049,600000,98224886446149500,1713146329
0x0174dbd0bff119ed2f656870f2ccb58e11724152,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,113350768059825715,1713146329
0x017887e4985fbd9cb005c078c35a41f11b5c353d,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,163273273106930941,1713146329
0x017932354d7db8a000922b28f53dd9424a3bf0a6,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,644315954688821716,1713146329
0x01b0d1dd8302374403b5f6697bb4f5992f1c75a3,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,2765245167837913319,1713146329
0x01b8bdf3f00c51cf5d86348b0d2f2cbc49cbd867,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,32760200395559995,1713146329
0x01bdbfdd901b0e8000dd0ad7ddf85ef6cf8776fa,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,605884766917274945,1713146329
0x01bdbfdd901b0e8000dd0ad7ddf85ef6cf8776fa,0x8c4ba925d899ccde6d3657fcd9416c819edbef97,0xdeec33dc735baf36b473598c33bcd077a0f32049,600000,313874487120224975,1713146329
0x01c3137ee9751663ddd96c47a6c44df7b48faae7,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,29529708452394238206,1713146329
0x01d2862da9d4fd9542d60bf9f769888435707176,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,0,1713146329
0x01db9d2e49c410690ec931805f22a227d6575636,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,0,1713146329
0x01e41e2ea139e4e56f4bfbf7cd8eb8700f1d829d,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,6552209205939469,1713146329
0x01e664fba0e000695c9eea4a24daf43c0c49388d,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,160533863568796437,1713146329
0x020b0d4c844e0dbca51c9ab779df0191978c0359,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,386762165871835672,1713146329
0x02437c78d46c13e9a8f581b81ed1bb78552ad947,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,163797504050229394,1713146329
0x024dcd278b57232c8c166045b7e97b8e942370b5,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,98763176854412774,1713146329
0x0261adc672e1f014e557dc9b664a22ef57edf788,0x8c4ba925d899ccde6d3657fcd9416c819edbef97,0xdeec33dc735baf36b473598c33bcd077a0f32049,600000,314981959354715274,1713146329
0x0270f624e0a2521a0d10667266c7921145f1b429,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,163798028312445465,1713146329
0x0289e2b261045f6fb9170c0b58b57096ac1fe400,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,68797629305386362,1713146329
0x02c69c567263d712ef7173c21a8d7ffae31db71c,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,489965620797636663,1713146329
0x02d268804d99aaccc74a9eb82a58c8c24f0f49ff,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,529625803484719427,1713146329
0x02ed7b3ec99e3f1a8a752b7ba8e23b55d0bf9f6d,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,590845902204548326,1713146329
0x02ed7d45040fc9b930040e30a2cdbc796792035b,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,0,1713146329
0x030528dc4d1d6132eb618bf245241204ab0989e5,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,64863811710181516,1713146329
0x031d8eb67a37d2c0d6b3a0ddabcbc75047170341,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,381479865589269246,1713146329
0x0321e89a7b9484f47e8ccd4daf97ee8066783c04,0x9f4baa696954ea954090231a582d535854b1b40e,0xf5d3953a33f78e0412a8988fd77b4920aa968b0b,600000,138439693459424665773,1713146329
0x0329fd5dd8ebf4df47394cd6eb25e723201d456f,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,262083613254242794,1713146329
0x0329fd5dd8ebf4df47394cd6eb25e723201d456f,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,56767033093006437,1713146329
0x0346bef0e6c840712d7ff1c721ffe5d18d241791,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,327617887630096,1713146329
0x03471ccd3746b7a020b7bd55f992981f71b55a8d,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,349583617770594652,1713146329
0x03546b55d62866f124dc31d84082a5625f6a6540,0x8c4ba925d899ccde6d3657fcd9416c819edbef97,0xdeec33dc735baf36b473598c33bcd077a0f32049,600000,163841282081567780,1713146329
