address,pairAddress,tokenAddress,blockNumber,balance,block_number,timestamp
0x327012a40caee9f7ff81fe97bbc14f388893144b,0x069fde3a1439d39ba2eef51559ba7006003a4853,0xf5d3953a33f78e0412a8988fd77b4920aa968b0b,40001,5431616877045229431,40001,0
0x54083336251a609e79c7f8ebb6180b7ef5f96402,0x9e5cabd99dfb4e4a0c3ea6fe9c3e1a4ce4f5fce5,0x8280a4e7d5b3b658ec4580d3bc30f5e50454f169,40001,30179510345888849,40001,0
0x54083336251a609e79c7f8ebb6180b7ef5f96402,0x069fde3a1439d39ba2eef51559ba7006003a4853,0xf5d3953a33f78e0412a8988fd77b4920aa968b0b,40001,10902468549997574,40001,0
0x8dc03ae1c3f2280eb2a571e352236cb616147cfe,0x78136b2fbffdf2df6261990eec49dbd76ca63c8f,0xcb70533c9635060275f1a97539dda2e3f8bfac42,40001,630580000000000000000,40001,0
0xd50e63fe2c31b4c78ba6c201aabecb1fc3ca3416,0x26c506c3d071bb5adc16a6623c3fc8b508eadaa0,0xfe8c940b936e3520e314574418585687c3bbaa12,40001,86100000000000000,40001,0
0xdb714c6c6bd7d1bab01c8e8787f41a8e6b9f2d0c,0x9e5cabd99dfb4e4a0c3ea6fe9c3e1a4ce4f5fce5,0x8280a4e7d5b3b658ec4580d3bc30f5e50454f169,40001,1000000000000010000,40001,0
0xdb714c6c6bd7d1bab01c8e8787f41a8e6b9f2d0c,0xa5b104e55d42f41ca1dbbb3ee95c62092c04b8f4,0xdeec33dc735baf36b473598c33bcd077a0f32049,40001,138044855043139150,40001,0
0xdb714c6c6bd7d1bab01c8e8787f41a8e6b9f2d0c,0x069fde3a1439d39ba2eef51559ba7006003a4853,0xf5d3953a33f78e0412a8988fd77b4920aa968b0b,40001,148603611153424300000,40001,0
